onset	duration	trial_type	value	sample
6.084	1.0	Target	2	3042
6.214	1.0	NonTarget	1	3107
6.336	1.0	NonTarget	1	3168
6.482	1.0	NonTarget	1	3241
6.614	1.0	NonTarget	1	3307
6.728	1.0	NonTarget	1	3364
6.852	1.0	NonTarget	1	3426
6.982	1.0	Target	2	3491
7.112	1.0	NonTarget	1	3556
7.258	1.0	Target	2	3629
7.388	1.0	NonTarget	1	3694
7.518	1.0	NonTarget	1	3759
7.654	1.0	Target	2	3827
7.792	1.0	NonTarget	1	3896
7.928	1.0	NonTarget	1	3964
8.054	1.0	NonTarget	1	4027
8.192	1.0	Target	2	4096
8.33	1.0	NonTarget	1	4165
8.46	1.0	NonTarget	1	4230
8.608	1.0	NonTarget	1	4304
8.732	1.0	NonTarget	1	4366
8.858	1.0	NonTarget	1	4429
8.984	1.0	Target	2	4492
9.11	1.0	NonTarget	1	4555
9.236	1.0	NonTarget	1	4618
9.366	1.0	Target	2	4683
9.5	1.0	NonTarget	1	4750
9.64	1.0	NonTarget	1	4820
9.776	1.0	NonTarget	1	4888
9.908	1.0	Target	2	4954
10.058	1.0	NonTarget	1	5029
10.176	1.0	NonTarget	1	5088
10.314	1.0	Target	2	5157
10.448	1.0	NonTarget	1	5224
10.58	1.0	NonTarget	1	5290
10.722	1.0	NonTarget	1	5361
10.84	1.0	NonTarget	1	5420
10.964	1.0	NonTarget	1	5482
11.09	1.0	Target	2	5545
11.22	1.0	NonTarget	1	5610
